run_id,generated_utc,version,status,symbol,timeframe,decision_id,decision_side,decision_score,primary_root_cause,root_cause_direction,root_cause_confidence,root_cause_probability_pct,root_cause_evidence_quality,root_cause_verdict,evidence_total,official_evidence_total,narrative_label,narrative_direction,narrative_theme,causal_primary_cause,catalyst_score
root_cause_20260710_233832,2026-07-10T23:38:32.476955+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,b02ae7fe2b105ae9,NEUTRAL,35,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.35,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,40
root_cause_20260710_233843,2026-07-10T23:38:43.969779+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,b02ae7fe2b105ae9,NEUTRAL,35,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.34,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,40
root_cause_20260711_072634,2026-07-11T07:26:34.321295+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,3a81916cf067dc15,LONG,62,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,41.81,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,44
root_cause_20260711_072642,2026-07-11T07:26:42.208255+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,3a81916cf067dc15,LONG,62,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,41.81,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,44
root_cause_20260711_072653,2026-07-11T07:26:53.118201+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,3a81916cf067dc15,LONG,62,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,41.81,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,44
root_cause_20260711_072705,2026-07-11T07:27:05.271542+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,3a81916cf067dc15,LONG,62,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,41.81,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,44
root_cause_20260711_113529,2026-07-11T11:35:29.560331+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,00f41894c0e1eb8c,LONG,47,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.23,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,43
root_cause_20260711_113538,2026-07-11T11:35:38.013013+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,00f41894c0e1eb8c,LONG,47,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.23,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,43
root_cause_20260711_113548,2026-07-11T11:35:48.124179+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,00f41894c0e1eb8c,LONG,47,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.23,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,43
root_cause_20260711_113559,2026-07-11T11:35:59.974203+00:00,v8.1.0,ROOT_CAUSE_MIXED_WITH_CONTRADICTIONS,BTC/USDT,4h,00f41894c0e1eb8c,LONG,47,MACRO_POLICY_PRESSURE,BEARISH,MEDIUM,42.23,HIGH,PROBABLE_CAUSE_BUT_CONFLICTED,16,12,MIXED_NARRATIVE_CONFLICT,BEARISH,MACRO_POLICY,MULTI_SOURCE_EVENT_CONSENSUS,43
