symbol,timeframe,side,score,confidence,confidence_label,risk_label,actionability,regime,mtf_direction,mtf_consensus,mtf_quality,rank_score,provider,price,notes,opportunity_score,quality_label,quality_stars,recommendation,trade_quality_grade,trade_quality_score,first_rr,best_rr,recommended_risk_pct,position_notional,expected_drawdown_pct,historical_win_probability,probability_ci_low,probability_ci_high,expected_r,calibration_samples,calibration_status,calibration_usable,allocation_pct,shadow_allocation_pct,decision_timestamp,entry_zone,stop_zone,targets,breadth_mode,breadth_strength,breadth_market_agreement,breadth_opportunity_strength,breadth_risk_tone,breadth_bullish_pct,breadth_bearish_pct,breadth_neutral_pct,breadth_avg_opportunity,daily_report_file
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,3.99,1.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,25,20,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.85,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,54,52,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.17,34.91,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,44,36,Low,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,33.89,28.61,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,3.99,1.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,23,19,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.72,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,54,52,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.17,34.91,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,44,36,Low,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,33.89,28.61,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,3.99,1.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,27,19,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.92,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,25,20,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.85,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,59,50,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,58.81,52.36,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,54,52,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.17,34.91,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,36,31,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,8.73,6.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,33,25,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,5.35,2.95,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,27,19,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.92,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,60,57,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,60.67,53.96,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,52,46,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,39.89,33.91,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,44,43,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,35.85,30.36,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,33,25,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,5.35,2.95,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,31,19,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,3.37,1.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,70,78,Medium,Low,ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,82.05,74.21,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,60,53,Low-Medium,Low,WATCHLIST,TRENDING_BULL,LONG,50,CONFLICTED,75.04,68.45,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,48,53,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,40.25,34.26,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,42,30,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,10.85,7.85,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,64,57,Low-Medium,Low,WATCHLIST,TRENDING_BULL,LONG,50,CONFLICTED,78.46,71.55,Good,⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,54,48,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.25,35.11,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,44,43,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,35.85,30.36,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,3.99,1.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,31,19,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,3.37,1.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,60,57,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,60.67,53.96,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,59,50,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,58.81,52.36,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,LONG,44,43,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,35.85,30.36,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,40,28,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,9.49,6.65,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,3.99,1.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,43,37,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.01,8.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,29,27,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,2.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,25,19,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.82,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,23,16,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.63,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,17,13,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.24,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,14,7,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,0.91,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,43,37,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.01,8.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,25,18,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.79,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,23,16,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.63,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,19,15,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,85,NEUTRAL_DOMINANT,1.4,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,18,12,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,18,12,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,43,37,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,12.01,8.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,25,18,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.79,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,23,16,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.63,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,19,15,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,85,NEUTRAL_DOMINANT,1.4,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,18,12,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,16,10,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.1,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,45,49,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,37.43,31.71,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,41,38,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,12.19,9.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,43,37,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.01,8.75,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,18,12,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,17,13,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.24,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,16,10,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.1,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,53,56,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.89,35.56,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,LONG,45,49,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,37.43,31.71,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,41,38,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.19,9.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,18,12,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.26,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,16,10,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.1,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,14,11,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,1.03,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,43,34,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,15.55,12.38,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,39,30,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,8.45,5.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,36,25,Low,Low,MONITOR_ONLY,TRENDING_BEAR,NEUTRAL,100,NEUTRAL_DOMINANT,6.55,4.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,23,16,Low,Medium,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.63,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,23,10,Low,Low,MONITOR_ONLY,UNKNOWN,NEUTRAL,100,NEUTRAL_DOMINANT,1.45,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,17,15,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,1.3,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,86,85,High,Low,ACTIONABLE,TRENDING_BEAR,SHORT,50,CONFLICTED,106.1,97.25,Elite,⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,68,48,Low-Medium,Low,WATCHLIST,UNKNOWN,SHORT,100,STRONG,89.34,82.5,Strong,⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,43,41,Low-Medium,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,13.83,10.45,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,38,42,Low-Medium,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,12.11,8.95,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,23,27,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.96,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,NEUTRAL,23,20,Low,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,85,NEUTRAL_DOMINANT,1.75,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,SHORT,84,84,High,Low,ACTIONABLE,TRENDING_BEAR,SHORT,50,CONFLICTED,105.52,96.8,Elite,⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,SHORT,75,60,Medium,Low,WATCHLIST,UNKNOWN,SHORT,100,STRONG,96.2,88.65,Elite,⭐⭐⭐⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,43,41,Low-Medium,Low,MONITOR_ONLY,SIDEWAYS,NEUTRAL,100,NEUTRAL_DOMINANT,13.83,10.45,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,38,42,Low-Medium,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,12.11,8.95,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
